PROVINCIA,COMUNE,CODICE,CODICEWISE,RETE,QUANTI_ESE,STATO,DATA_INIZIO,X_WGS84,Y_WGS84,ORIGINE_CO,QUOTA_MISU,QUOTA_PC_S,H_BP,PROFONDIT,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,GWB_2015,Codice_WIS,Nome_Corpo,Area_GWB,SONDA_AUTO,NOTE,STATISTICA_MK,PVALUE,SENSSLOPE_M_MESE,SENSSLOPE_M_ANNO,SENSSLOPE_CM_ANNO,TREND,PIEZO82,N_DATI,FREQ_MEDIA_MISURE,ANNI CON 12 DATI,ANNI SENZA DATI,CONFIDENZA
BG,OSIO SOTTO,PO0161530R0004,IT03GWBISSAPAO_PO0161530R0004,1,1,M,01/01/2010,544462,5052042,1,182.635,181.915,0.72,50,3,24.5,35.2,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",SI,,-0.115214415,0.068372861,-0.008085106,-0.097021272,-9.7021272,STAZIONARIO,154.612,115,10.45454545,8,1,ALTA
BG,PALOSCO,PO0161570R3380,IT03GWBISSAPAO_PO0161570R3380,3,1,N,01/01/2006,564666,5047586,1,149.671,149.501,0.17,48,1,35,44,DOMESTICO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,-0.325842261,4.78E-07,-0.016,-0.192,-19.2,NEGATIVO,138.351,110,10,6,1,ALTA
BG,TELGATE,PO0162120R0001,IT03GWBISSAPAO_PO0162120R0001,3,1,M,01/05/2014,567086.73,5052562.733,2,191,190.5,0.5,72,1,48,72,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,-0.053846169,0.570699215,-0.01351351,-0.16216212,-16.216212,STAZIONARIO,152.203,54,4.909090909,2,5,BASSA
BG,CIVIDATE AL PIANO,PO0160760R1284,IT03GWBISSAPAO_PO0160760R1284,1,1,M,01/03/2012,565653,5042196,1,131.5,131.5,0,18,n.d.,n.d.,n.d.,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,-0.116006151,0.080574632,-0.003796552,-0.045558624,-4.5558624,STAZIONARIO,118.692,105,9.545454545,6,2,ALTA
BG,LURANO,PO0161290R0001,IT03GWBISSAPAO_PO0161290R0001,3,1,M,01/01/2006,550460,5045643,1,142.426,142.296,0.13,30,1,25,30,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,-0.202990994,0.001942564,-0.003529412,-0.042352944,-4.2352944,NEGATIVO,132.705,108,9.818181818,3,0,ALTA
BG,ROMANO DI LOMBARDIA,PO0161830R0003,IT03GWBISSAPAO_PO0161830R0003,1,1,M,01/02/2006,559060,5041598,1,124.207,124.207,0,62,1,55,60,POTABILE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",SI,,-0.308637291,2.85E-07,-0.006666667,-0.080000004,-8.0000004,NEGATIVO,118.767,127,11.54545455,8,0,ALTA
BG,TREVIGLIO,PO016219NUP001,IT03GWBISSAPAO_PO016219NUP001,3,1,M,01/03/2015,546053.6207,5041359.158,1,127.309,126.559,-0.75,57,2,38,54,POTABILE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",,,0.016346559,0.873709083,0.002,0.024,2.4,STAZIONARIO,114.86,50,4.545454545,1,6,BASSA
BG,PUMENENGO,PO0161770U0001,IT03GWBISSAPAO_PO0161770U0001,3,1,M,01/01/2006,567748,5036468,1,110.197,110.197,0,60,1,42,54,POTABILE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,"629661681,3987942",SI,DATI SONDA AUTOMATICA NON VALIDI,-0.184975818,0.002182157,-0.006,-0.072,-7.2,NEGATIVO,101.979,126,11.45454545,7,0,ALTA
BS,BRESCIA,PO0170290UB135,IT03GWBISSAPOM_PO0170290UB135,3,1,M,01/01/2006,591217,5041379,1,119.62,119.62,0,25,1,9,25,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",SI,,-0.347544074,2.89E-08,-0.02616203,-0.31394436,-31.394436,NEGATIVO,110.207,117,10.63636364,7,0,ALTA
BS,CASTEGNATO,PO0170400RC511,IT03GWBISSAPOM_PO0170400RC511,3,2,M,01/01/2006,584404,5046117,1,157.22,157.28,-0.06,60,1,37.5,55.5,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",,,-0.398001939,1.64E-11,-0.02490566,-0.29886792,-29.886792,NEGATIVO,116.284,131,11.90909091,10,0,ALTA
BS,ROVATO,PO0171660UC529,IT03GWBISSAPOM_PO0171660UC529,3,2,M,01/01/2006,579372,5046593,1,176.48,176.48,0,81,1,63,75,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",,,-0.359174907,0.000000309,-0.03870968,-0.46451616,-46.451616,NEGATIVO,122.728,95,8.636363636,7,2,MEDIA
BS,BRESCIA,PO0170290RC490,IT03GWBISSAPOM_PO0170290RC490,3,2,M,01/01/2006,600963,5039596,1,135.48,135.48,0,34,1,17,34,ANTINCENDIO,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",SI,,-0.420178562,1.76E-12,-0.02228416,-0.26740992,-26.740992,NEGATIVO,112.622,129,11.72727273,8,0,ALTA
BS,BRESCIA,PO017029NR0001,IT03GWBISSAPOM_PO017029NR0001,3,2,M,01/03/2012,591971,5038818,1,107.06,107.06,0,12,1,3,12,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",SI,,-0.392106801,8.35E-08,-0.01065045,-0.1278054,-12.78054,NEGATIVO,104.998,88,8,5,3,MEDIA
BS,BRESCIA,PO017029NR0003,IT03GWBISSAPOM_PO017029NR0003,1,6,N,01/01/2016,599429,5039811,,0,0,DA DEFINIRE,30,2,12,30,MONITORAGGIO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",,,-0.399095029,0.0000071,-0.035,-0.42,-42,NEGATIVO,112.119,60,5.454545455,4,5,BASSA
BS,CASTREZZATO,PO0170450RC542,IT03GWBISSAPOM_PO0170450RC542,1,2,M,01/02/2010,578796,5040213,1,129.4,129.92,-0.52,28,1,15,24,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",,,-0.254787832,0.000339468,-0.02,-0.24,-24,NEGATIVO,111.544,93,8.454545455,7,3,MEDIA
BS,MONTICHIARI,PO0171130RC561,IT03GWBISSAPOM_PO0171130RC561,1,2,M,01/01/2009,605366,5033595,2,118.75,120,-1.25,56,1,25,52,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",,,-0.390752971,3.65E-10,-0.04116883,-0.49402596,-49.402596,NEGATIVO,94.4727,118,10.72727273,7,0,ALTA
BS,MONTICHIARI,PO017113NRD106,IT03GWBISSAPOM_PO017113NRD106,3,2,C,01/01/2006,605200,5032183,2,111.68,111.28,0.4,41.8,1,29.8,41.8,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",,,-0.400702298,7.62E-09,-0.04377919,-0.52535028,-52.535028,NEGATIVO,89.6631,96,8.727272727,8,3,MEDIA
BS,MONTIRONE,PO0171140UC023,IT03GWBISSAPOM_PO0171140UC023,2,0,M,01/01/2006,596315,5033160,1,98.78,100.61,-1.83,55.5,1,22.25,31.25,POTABILE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",,,-0.59980011,7.33E-09,-0.0830625,-0.99675,-99.675,NEGATIVO,92.4181,45,4.090909091,2,2,BASSA
MN,CASTIGLIONE DELLE STIVIERE,PO0200170R0001,IT03GWBISSAPOM_PO0200170R0001,3,2,M,01/01/2006,615368,5028467,1,105.253,105.253,0,28,1,18,28,NON DEFINITO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",,,-0.50619489,6.34E-16,-0.04058333,-0.48699996,-48.699996,NEGATIVO,86.1999,117,10.63636364,6,0,ALTA
BS,CALVISANO,PO0170340RC481,IT03GWBISSAPOM_PO0170340RC481,3,1,M,01/01/2006,603498,5027951,1,85.95,85.8,0.15,10,1,4,10,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",SI,,-0.317010462,0.00000254,-0.01933333,-0.23199996,-23.199996,NEGATIVO,79.7056,102,9.272727273,7,0,ALTA
MN,CASTIGLIONE DELLE STIVIERE,PO020017NU0005,IT03GWBISSAPOM_PO020017NU0005,3,1,M,01/05/2014,618058.0846,5027962.536,1,112.83,112.69,0.14,60,1,48,58,NON DEFINITO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",SI,,-0.640204906,1.28E-13,-0.08917858,-1.07014296,-107.014296,NEGATIVO,78.5963,63,5.727272727,2,4,BASSA
BS,CALVISANO,PO0170340RC483,IT03GWBISSAPOM_PO0170340RC483,1,1,M,01/07/2009,604569,5024858,1,75.97,75.64,0.33,12,1,6,12,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,"641545976,6862019",SI,,-0.40036118,5.02E-10,-0.01287452,-0.15449424,-15.449424,NEGATIVO,71.7015,111,10.09090909,8,0,ALTA
CO,BINAGO,PO0130230U0003,IT03GWBISSAPTA_PO0130230U0003,3,2,M,01/01/2006,492805,5069886,1,372.084,373.384,-1.3,30,1,20.5,29.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.550106585,5.11E-20,-0.0330137,-0.3961644,-39.61644,NEGATIVO,261.083,127,11.54545455,8,0,ALTA
VA,ALBIZZATE,PO012002NU0008,IT03GWBISSAPTA_PO012002NU0008,3,2,M,01/09/2011,485002,5065315,1,313.8,315.12,-1.32,48.5,1,18,28.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,Gestore spegne pozzo al massimo per 30',0.024031492,0.772595406,0.002741935,0.03290322,3.290322,STAZIONARIO,249.308,70,6.363636364,2,2,BASSA
VA,VENEGONO INFERIORE,PO012136NUZ001,IT03GWBISSAPTA_PO012136NUZ001,1,1,N,01/08/2005,493230,5064390,1,315.709,316.009,-0.3,67,2,28,55,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.4216986,3.27E-12,-0.02666667,-0.32000004,-32.000004,NEGATIVO,242.29,125,11.36363636,6,0,ALTA
CO,BREGNANO,PO0130280U0009,IT03GWBISSAPTA_PO0130280U0009,3,2,M,01/01/2006,503950,5061917,1,281.548,283.013,-1.465,96,1,71,86,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.330215931,7.48E-08,-0.01583746,-0.19004952,-19.004952,NEGATIVO,207.977,124,11.27272727,6,0,ALTA
CO,BRENNA,PO013029NU0003,IT03GWBISSAPTA_PO013029NU0003,3,2,M,01/01/2006,514917,5064395,1,340.871,342.371,-1.5,79,1,57,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.600577772,1.66E-12,-0.08074321,-0.96891852,-96.891852,NEGATIVO,221.172,65,5.909090909,0,0,BASSA
CO,CARIMATE,PO0130460U0001,IT03GWBISSAPTA_PO0130460U0001,3,2,M,01/01/2006,508142,5061966,1,250.348,253.598,-3.25,61,3,41.41,58,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,0.064674392,0.329577088,0.008695652,0.104347824,10.4347824,STAZIONARIO,206.913,106,9.636363636,1,0,ALTA
CO,CERMENATE,PO013064NU0002,IT03GWBISSAPTA_PO013064NU0002,3,2,M,01/01/2006,506428,5061507,1,301.932,304.572,-2.64,110,1,98.3,102.3,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.489907801,5.15E-16,-0.03820225,-0.458427,-45.8427,NEGATIVO,202.642,127,11.54545455,6,0,ALTA
CO,LOMAZZO,PO0131330U0009,IT03GWBISSAPTA_PO0131330U0009,3,2,M,01/01/2006,502017,5061511,1,303.805,306.115,-2.31,153,1,88,91,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.257752776,1.94E-05,-0.02761905,-0.3314286,-33.14286,NEGATIVO,211.475,127,11.54545455,6,0,ALTA
CO,MARIANO COMENSE,PO013143NUP001,IT03GWBISSAPTA_PO013143NUP001,3,2,M,01/03/2015,513110.453,5061567.053,1,284.119,285.209,1.09,53,1,37,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.365401506,0.023273749,-0.035,-0.42,-42,NEGATIVO,206.929,21,1.909090909,0,6,BASSA
LC,CERNUSCO LOMBARDONE,PO0970200U0002,IT03GWBISSAPTA_PO0970200U0002,1,06-gen,M,01/01/2006,531019,5060365,1,254.711,256.57,-1.859,40,1,22,36,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.080226332,0.238258898,-0.02409463,-0.28913556,-28.913556,STAZIONARIO,201.843,100,9.090909091,6,0,ALTA
LC,MERATE,PO0970480U0001,IT03GWBISSAPTA_PO0970480U0001,3,6,M,01/01/2001,530989,5061279,1,264.704,266.704,-2,49.8,1,35,44,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.137914166,0.03229402,-0.01969697,-0.23636364,-23.636364,NEGATIVO,202.973,111,10.09090909,6,0,ALTA
VA,CISLAGO,PO0120500RZ001,IT03GWBISSAPTA_PO0120500RZ001,1,2,M,01/12/2005,495380,5054832,1,207.042,207.752,-0.71,15,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.077046163,0.197974324,-0.007122153,-0.085465836,-8.5465836,STAZIONARIO,194.672,128,11.63636364,8,0,ALTA
VA,GALLARATE,PO012070NU1007,IT03GWBISSAPTA_PO012070NU1007,1,2,M,01/01/2004,482391,5056403,1,252.806,254.856,-2.05,65,4,32,55,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,Gestore spegne pozzo al massimo per 30',0.015280023,0.806473017,0.001079002,0.012948024,1.2948024,STAZIONARIO,208.802,120,10.90909091,4,0,ALTA
VA,GORLA MINORE,PO0120790RZ001,IT03GWBISSAPTA_PO0120790RZ001,1,2,M,01/12/2005,494757,5054445,1,241.321,241.521,-0.2,50,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,0.075683266,0.221475005,0.009105105,0.10926126,10.926126,STAZIONARIO,193.173,120,10.90909091,7,0,ALTA
VA,SOMMA LOMBARDO,PO012123NUP001,IT03GWBISSAPTA_PO012123NUP001,3,2,M,01/03/2015,477395.4323,5053944.915,1,228.186,231.736,3.55,100,1,58,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,Gestore spegne pozzo al massimo per 30',-0.881006777,4.78E-22,-0.07388736,-0.88664832,-88.664832,NEGATIVO,177.548,57,5.181818182,2,6,BASSA
CO,LOCATE VARESINO,PO0131310U0001,IT03GWBISSAPTA_PO0131310U0001,3,2,M,01/03/2012,494595,5059657,1,272.942,273.982,-1.04,58,1,50,54,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.386107385,2.10E-07,-0.05555556,-0.66666672,-66.666672,NEGATIVO,224.142,86,7.818181818,1,3,MEDIA
CO,MOZZATE,PO0131590U0001,IT03GWBISSAPTA_PO0131590U0001,3,6,M,01/01/2006,495957,5058515,2,260,261.965,-1.965,102.5,2,40,98,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,0.06593293,0.304519176,0.008602151,0.103225812,10.3225812,STAZIONARIO,215.668,114,10.36363636,5,0,ALTA
LC,CERNUSCO LOMBARDONE,PO0970200U0003,IT03GWBISSAPTA_PO0970200U0003,3,6,M,01/01/2001,530490,5059489,1,246.905,248.915,-2.01,50,1,37,43,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.016389415,0.800812185,-0.004393939,-0.052727268,-5.2727268,STAZIONARIO,200.798,111,10.09090909,6,0,ALTA
LC,OSNAGO,PO0970610U0015,IT03GWBISSAPTA_PO0970610U0015,1,6,M,01/01/2006,529860,5057943,1,238.515,238.095,0.42,46.6,2,21.4,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.102873027,0.099584877,-0.01448718,-0.17384616,-17.384616,STAZIONARIO,199.353,118,10.72727273,4,0,ALTA
MB,SEREGNO,PO1080390U0026,IT03GWBISSAPTA_PO1080390U0026,3,2,M,01/03/2015,516742.2773,5056424.618,1,230.749,233.749,3,96,3,68,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,-0.67155081,5.50E-06,-0.3508333,-4.2099996,-420.99996,NEGATIVO,177.692,24,2.181818182,0,6,BASSA
VA,BUSTO ARSIZIO,PO012026NU3021,IT03GWBISSAPTA_PO012026NU3021,3,2,M,01/01/2006,486383,5048270,1,201.672,204.682,-3.01,102,2,42,95,INDUSTRIALE,POZZO ATTREZZATO CON PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,Gestore spegne pozzo al massimo per 30',0.380882293,0,0.02912621,0.34951452,34.951452,POSITIVO,168.722,128,11.63636364,8,0,ALTA
VA,GERENZANO,PO0120750R2020,IT03GWBISSAPTA_PO0120750R2020,3,2,M,01/01/2006,498243,5052530,1,220.926,220.626,0.3,62,1,33.5,59,INDUSTRIALE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,,0.188270852,0.001733422,0.02739583,0.32874996,32.874996,POSITIVO,179.214,127,11.54545455,9,0,ALTA
VA,LONATE POZZOLO,PO012090NU2009,IT03GWBISSAPTA_PO012090NU2009,3,2,M,01/01/2006,477623,5050127,1,208.446,207.946,0.5,82.6,1,55,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,"1634782393,7722997",,Gestore spegne pozzo al massimo per 30',-0.244425714,6.71E-05,-0.01068966,-0.12827592,-12.827592,NEGATIVO,154.001,123,11.18181818,3,0,ALTA
